entity_id,sku,similarity_Original,similarity_Brightness,similarity_Contrast,similarity_Crop,similarity_Watermark,similarity_Scaling
278746,KS-662-ROYAL,1.0,1.0,1.0,0.8125,1.0,1.0
342353,958245-KHAKI,1.0,0.96875,0.96875,0.78125,1.0,1.0
319372,DQK8115-BLACK,1.0,0.96875,0.96875,0.875,1.0,1.0
341417,KP10404-WHITE,1.0,0.875,0.90625,0.78125,1.0,1.0
275334,TCH-15106-MULTIPLE,1.0,0.9375,1.0,0.6875,1.0,1.0
294546,CF23027CP-BLACK,1.0,0.9375,0.96875,0.71875,1.0,1.0
277319,YL-3242-WHITE,1.0,1.0,1.0,0.59375,1.0,1.0
250999,COORD-010-21,1.0,0.90625,1.0,0.78125,1.0,1.0
417791,35767-LIGHT BLUE,1.0,1.0,1.0,0.78125,1.0,1.0
338464,K22DS481-WHITE,1.0,1.0,1.0,0.71875,1.0,1.0
357118,EQOV-BLACK,1.0,0.9375,1.0,0.875,1.0,1.0
417780,15555-BLUE,1.0,0.90625,1.0,0.75,1.0,1.0
341741,SM042279-RED,1.0,1.0,0.96875,0.78125,1.0,1.0
213331,PCIRISGOLD,1.0,0.96875,0.96875,0.71875,1.0,1.0
296346,ZY22507-WHITE,1.0,0.96875,1.0,0.78125,1.0,1.0
309442,D396-RED,1.0,0.96875,0.96875,0.78125,1.0,1.0
225622,JM-6900-KHAKI,1.0,1.0,0.96875,0.8125,0.96875,1.0
343206,1570-KHAKI,1.0,0.96875,1.0,0.6875,1.0,1.0
276699,TVC44,1.0,0.9375,1.0,0.75,1.0,1.0
300214,XCWQ-8777-BROWN,1.0,0.9375,0.9375,0.6875,1.0,1.0
289714,FWP-ER-02-PL,1.0,0.96875,0.96875,0.84375,1.0,1.0
392312,HK7017-GREEN,1.0,0.9375,1.0,0.625,1.0,1.0
